"","Border","Sector","State.Territory","Year","Demographic","Number_Arrested","lon","lat"
"1","Coast","Livermore","CA",2000,"All Immigrants",6205,-121.7680088,37.6818745
"2","Coast","Miami","FL, GA, SC, NC",2000,"All Immigrants",6237,-80.1917902,25.7616798
"3","Coast","New Orleans","LA, AL, MS, FL",2000,"All Immigrants",6478,-90.0715323,29.9510658
"4","Coast","Ramey","PR",2000,"All Immigrants",1731,-78.3972413,40.7981154
"5","North","Blaine","WA, OR",2000,"All Immigrants",2581,-93.2349489,45.1607987
"6","North","Buffalo","NY, PA",2000,"All Immigrants",1570,-78.8783689,42.8864468
"7","North","Detroit","OH, MI, IN, IL",2000,"All Immigrants",2057,-83.0457538,42.331427
"8","North","Grand Forks","WI, MN, ND",2000,"All Immigrants",562,-97.0328547,47.9252568
"9","North","Havre","MT",2000,"All Immigrants",1568,-109.6840887,48.549999
"10","North","Houlton","ME",2000,"All Immigrants",489,-67.8402316,46.1261806
"11","North","Spokane","MT, ID, WA",2000,"All Immigrants",1324,-117.4260466,47.6587802
"12","North","Swanton","NH, VT, NY",2000,"All Immigrants",1957,-83.8910534,41.5886629
"13","Southwest","Big Bend","TX",2000,"All Immigrants",13689,-103.2425379,29.1274869
"14","Southwest","Del Rio","TX",2000,"All Immigrants",157178,-100.8958674,29.3708857
"15","Southwest","El Centro","CA",2000,"All Immigrants",238126,-115.5630514,32.792
"16","Southwest","El Paso","NM, TX",2000,"All Immigrants",115696,-106.4850217,31.7618778
"17","Southwest","Laredo","TX",2000,"All Immigrants",108973,-99.4803241,27.5305671
"18","Southwest","Rio Grande Valley","TX",2000,"All Immigrants",133243,-97.887797,26.162872
"19","Southwest","San Diego","CA",2000,"All Immigrants",151681,-117.1610838,32.715738
"20","Southwest","Tucson","AZ",2000,"All Immigrants",616346,-110.926479,32.2217429
"21","Southwest","Yuma","CA, AZ",2000,"All Immigrants",108747,-114.6276916,32.6926512
"22","Coast","Livermore","CA",2000,"Mexicans",6034,-121.7680088,37.6818745
"23","Coast","Miami","FL, GA, SC, NC",2000,"Mexicans",2421,-80.1917902,25.7616798
"24","Coast","New Orleans","LA, AL, MS, FL",2000,"Mexicans",5985,-90.0715323,29.9510658
"25","Coast","Ramey","PR",2000,"Mexicans",0,-78.3972413,40.7981154
"26","North","Blaine","WA, OR",2000,"Mexicans",1560,-93.2349489,45.1607987
"27","North","Buffalo","NY, PA",2000,"Mexicans",978,-78.8783689,42.8864468
"28","North","Detroit","OH, MI, IN, IL",2000,"Mexicans",1634,-83.0457538,42.331427
"29","North","Grand Forks","WI, MN, ND",2000,"Mexicans",373,-97.0328547,47.9252568
"30","North","Havre","MT",2000,"Mexicans",1375,-109.6840887,48.549999
"31","North","Houlton","ME",2000,"Mexicans",135,-67.8402316,46.1261806
"32","North","Spokane","MT, ID, WA",2000,"Mexicans",1205,-117.4260466,47.6587802
"33","North","Swanton","NH, VT, NY",2000,"Mexicans",102,-83.8910534,41.5886629
"34","Southwest","Big Bend","TX",2000,"Mexicans",12851,-103.2425379,29.1274869
"35","Southwest","Del Rio","TX",2000,"Mexicans",150467,-100.8958674,29.3708857
"36","Southwest","El Centro","CA",2000,"Mexicans",236346,-115.5630514,32.792
"37","Southwest","El Paso","NM, TX",2000,"Mexicans",114299,-106.4850217,31.7618778
"38","Southwest","Laredo","TX",2000,"Mexicans",105637,-99.4803241,27.5305671
"39","Southwest","Rio Grande Valley","TX",2000,"Mexicans",122501,-97.887797,26.162872
"40","Southwest","San Diego","CA",2000,"Mexicans",150599,-117.1610838,32.715738
"41","Southwest","Tucson","AZ",2000,"Mexicans",614145,-110.926479,32.2217429
"42","Southwest","Yuma","CA, AZ",2000,"Mexicans",108236,-114.6276916,32.6926512
"43","Coast","Livermore","CA",2001,"All Immigrants",5211,-121.7680088,37.6818745
"44","Coast","Miami","FL, GA, SC, NC",2001,"All Immigrants",5962,-80.1917902,25.7616798
"45","Coast","New Orleans","LA, AL, MS, FL",2001,"All Immigrants",5033,-90.0715323,29.9510658
"46","Coast","Ramey","PR",2001,"All Immigrants",1952,-78.3972413,40.7981154
"47","North","Blaine","WA, OR",2001,"All Immigrants",2089,-93.2349489,45.1607987
"48","North","Buffalo","NY, PA",2001,"All Immigrants",1434,-78.8783689,42.8864468
"49","North","Detroit","OH, MI, IN, IL",2001,"All Immigrants",2106,-83.0457538,42.331427
"50","North","Grand Forks","WI, MN, ND",2001,"All Immigrants",921,-97.0328547,47.9252568
"51","North","Havre","MT",2001,"All Immigrants",1305,-109.6840887,48.549999
"52","North","Houlton","ME",2001,"All Immigrants",685,-67.8402316,46.1261806
"53","North","Spokane","MT, ID, WA",2001,"All Immigrants",1335,-117.4260466,47.6587802
"54","North","Swanton","NH, VT, NY",2001,"All Immigrants",2463,-83.8910534,41.5886629
"55","Southwest","Big Bend","TX",2001,"All Immigrants",12087,-103.2425379,29.1274869
"56","Southwest","Del Rio","TX",2001,"All Immigrants",104875,-100.8958674,29.3708857
"57","Southwest","El Centro","CA",2001,"All Immigrants",172852,-115.5630514,32.792
"58","Southwest","El Paso","NM, TX",2001,"All Immigrants",112857,-106.4850217,31.7618778
"59","Southwest","Laredo","TX",2001,"All Immigrants",87068,-99.4803241,27.5305671
"60","Southwest","Rio Grande Valley","TX",2001,"All Immigrants",107844,-97.887797,26.162872
"61","Southwest","San Diego","CA",2001,"All Immigrants",110075,-117.1610838,32.715738
"62","Southwest","Tucson","AZ",2001,"All Immigrants",449675,-110.926479,32.2217429
"63","Southwest","Yuma","CA, AZ",2001,"All Immigrants",78385,-114.6276916,32.6926512
"64","Coast","Livermore","CA",2001,"Mexicans",5007,-121.7680088,37.6818745
"65","Coast","Miami","FL, GA, SC, NC",2001,"Mexicans",1590,-80.1917902,25.7616798
"66","Coast","New Orleans","LA, AL, MS, FL",2001,"Mexicans",4616,-90.0715323,29.9510658
"67","Coast","Ramey","PR",2001,"Mexicans",0,-78.3972413,40.7981154
"68","North","Blaine","WA, OR",2001,"Mexicans",1214,-93.2349489,45.1607987
"69","North","Buffalo","NY, PA",2001,"Mexicans",850,-78.8783689,42.8864468
"70","North","Detroit","OH, MI, IN, IL",2001,"Mexicans",1772,-83.0457538,42.331427
"71","North","Grand Forks","WI, MN, ND",2001,"Mexicans",755,-97.0328547,47.9252568
"72","North","Havre","MT",2001,"Mexicans",1153,-109.6840887,48.549999
"73","North","Houlton","ME",2001,"Mexicans",300,-67.8402316,46.1261806
"74","North","Spokane","MT, ID, WA",2001,"Mexicans",1252,-117.4260466,47.6587802
"75","North","Swanton","NH, VT, NY",2001,"Mexicans",148,-83.8910534,41.5886629
"76","Southwest","Big Bend","TX",2001,"Mexicans",11107,-103.2425379,29.1274869
"77","Southwest","Del Rio","TX",2001,"Mexicans",100265,-100.8958674,29.3708857
"78","Southwest","El Centro","CA",2001,"Mexicans",171866,-115.5630514,32.792
"79","Southwest","El Paso","NM, TX",2001,"Mexicans",110679,-106.4850217,31.7618778
"80","Southwest","Laredo","TX",2001,"Mexicans",82460,-99.4803241,27.5305671
"81","Southwest","Rio Grande Valley","TX",2001,"Mexicans",95287,-97.887797,26.162872
"82","Southwest","San Diego","CA",2001,"Mexicans",109281,-117.1610838,32.715738
"83","Southwest","Tucson","AZ",2001,"Mexicans",446471,-110.926479,32.2217429
"84","Southwest","Yuma","CA, AZ",2001,"Mexicans",77974,-114.6276916,32.6926512
"85","Coast","Livermore","CA",2002,"All Immigrants",4371,-121.7680088,37.6818745
"86","Coast","Miami","FL, GA, SC, NC",2002,"All Immigrants",5143,-80.1917902,25.7616798
"87","Coast","New Orleans","LA, AL, MS, FL",2002,"All Immigrants",4665,-90.0715323,29.9510658
"88","Coast","Ramey","PR",2002,"All Immigrants",835,-78.3972413,40.7981154
"89","North","Blaine","WA, OR",2002,"All Immigrants",1732,-93.2349489,45.1607987
"90","North","Buffalo","NY, PA",2002,"All Immigrants",1102,-78.8783689,42.8864468
"91","North","Detroit","OH, MI, IN, IL",2002,"All Immigrants",1511,-83.0457538,42.331427
"92","North","Grand Forks","WI, MN, ND",2002,"All Immigrants",1369,-97.0328547,47.9252568
"93","North","Havre","MT",2002,"All Immigrants",1463,-109.6840887,48.549999
"94","North","Houlton","ME",2002,"All Immigrants",432,-67.8402316,46.1261806
"95","North","Spokane","MT, ID, WA",2002,"All Immigrants",1142,-117.4260466,47.6587802
"96","North","Swanton","NH, VT, NY",2002,"All Immigrants",1736,-83.8910534,41.5886629
"97","Southwest","Big Bend","TX",2002,"All Immigrants",11392,-103.2425379,29.1274869
"98","Southwest","Del Rio","TX",2002,"All Immigrants",66985,-100.8958674,29.3708857
"99","Southwest","El Centro","CA",2002,"All Immigrants",108273,-115.5630514,32.792
"100","Southwest","El Paso","NM, TX",2002,"All Immigrants",94154,-106.4850217,31.7618778
"101","Southwest","Laredo","TX",2002,"All Immigrants",82095,-99.4803241,27.5305671
"102","Southwest","Rio Grande Valley","TX",2002,"All Immigrants",89927,-97.887797,26.162872
"103","Southwest","San Diego","CA",2002,"All Immigrants",100681,-117.1610838,32.715738
"104","Southwest","Tucson","AZ",2002,"All Immigrants",333648,-110.926479,32.2217429
"105","Southwest","Yuma","CA, AZ",2002,"All Immigrants",42654,-114.6276916,32.6926512
"106","Coast","Livermore","CA",2002,"Mexicans",4186,-121.7680088,37.6818745
"107","Coast","Miami","FL, GA, SC, NC",2002,"Mexicans",1825,-80.1917902,25.7616798
"108","Coast","New Orleans","LA, AL, MS, FL",2002,"Mexicans",4126,-90.0715323,29.9510658
"109","Coast","Ramey","PR",2002,"Mexicans",0,-78.3972413,40.7981154
"110","North","Blaine","WA, OR",2002,"Mexicans",1059,-93.2349489,45.1607987
"111","North","Buffalo","NY, PA",2002,"Mexicans",421,-78.8783689,42.8864468
"112","North","Detroit","OH, MI, IN, IL",2002,"Mexicans",1125,-83.0457538,42.331427
"113","North","Grand Forks","WI, MN, ND",2002,"Mexicans",1068,-97.0328547,47.9252568
"114","North","Havre","MT",2002,"Mexicans",1199,-109.6840887,48.549999
"115","North","Houlton","ME",2002,"Mexicans",49,-67.8402316,46.1261806
"116","North","Spokane","MT, ID, WA",2002,"Mexicans",1006,-117.4260466,47.6587802
"117","North","Swanton","NH, VT, NY",2002,"Mexicans",168,-83.8910534,41.5886629
"118","Southwest","Big Bend","TX",2002,"Mexicans",10321,-103.2425379,29.1274869
"119","Southwest","Del Rio","TX",2002,"Mexicans",64169,-100.8958674,29.3708857
"120","Southwest","El Centro","CA",2002,"Mexicans",107411,-115.5630514,32.792
