"","Border","Sector","State.Territory","Year","Demographic","Number_Arrested"
"1","Coast","Livermore","CA",2000,"All Immigrants",6205
"2","Coast","Miami","FL, GA, SC, NC",2000,"All Immigrants",6237
"3","Coast","New Orleans","LA, AL, MS, FL",2000,"All Immigrants",6478
"4","Coast","Ramey","PR",2000,"All Immigrants",1731
"5","Coast","All","PR, LA, AL, MS, FL, GA, SC, NC",2000,"All Immigrants",20651
"6","North","Blaine","WA, OR",2000,"All Immigrants",2581
"7","North","Buffalo","NY, PA",2000,"All Immigrants",1570
"8","North","Detroit","OH, MI, IN, IL",2000,"All Immigrants",2057
"9","North","Grand Forks","WI, MN, ND",2000,"All Immigrants",562
"10","North","Havre","MT",2000,"All Immigrants",1568
"11","North","Houlton","ME",2000,"All Immigrants",489
"12","North","Spokane","MT, ID, WA",2000,"All Immigrants",1324
"13","North","Swanton","NH, VT, NY",2000,"All Immigrants",1957
"14","North","All","ME, NH, VT, NY, PA, OH, MI, IN, IL, WI, MN, ND, MT, ID, WA",2000,"All Immigrants",12108
"15","Southwest","Big Bend","TX",2000,"All Immigrants",13689
"16","Southwest","Del Rio","TX",2000,"All Immigrants",157178
"17","Southwest","El Centro","CA",2000,"All Immigrants",238126
"18","Southwest","El Paso","NM, TX",2000,"All Immigrants",115696
"19","Southwest","Laredo","TX",2000,"All Immigrants",108973
"20","Southwest","Rio Grande Valley","TX",2000,"All Immigrants",133243
"21","Southwest","San Diego","CA",2000,"All Immigrants",151681
"22","Southwest","Tucson","AZ",2000,"All Immigrants",616346
"23","Southwest","Yuma","CA, AZ",2000,"All Immigrants",108747
"24","Southwest","All","CA, AZ, NM, TX",2000,"All Immigrants",1643679
"25","United States","","USA",2000,"All Immigrants",1676438
"26","Coast","Livermore","CA",2000,"Mexicans",6034
"27","Coast","Miami","FL, GA, SC, NC",2000,"Mexicans",2421
"28","Coast","New Orleans","LA, AL, MS, FL",2000,"Mexicans",5985
"29","Coast","Ramey","PR",2000,"Mexicans",0
"30","Coast","All","PR, LA, AL, MS, FL, GA, SC, NC",2000,"Mexicans",14440
"31","North","Blaine","WA, OR",2000,"Mexicans",1560
"32","North","Buffalo","NY, PA",2000,"Mexicans",978
"33","North","Detroit","OH, MI, IN, IL",2000,"Mexicans",1634
"34","North","Grand Forks","WI, MN, ND",2000,"Mexicans",373
"35","North","Havre","MT",2000,"Mexicans",1375
"36","North","Houlton","ME",2000,"Mexicans",135
